id,day_cen,wellbeing,positive_affect,negative_affect,dysphoria,decentering,tms,age,gender_female,BFI_N,BFI_E,BFI_O,BFI_A,BFI_C
101,0,3,2,1,1.625,3.75,15,53,1,24,26,34,19,41
101,1,3.5,2.5,1,2,4,15,53,1,24,26,34,19,41
101,2,NA,NA,NA,NA,NA,15,53,1,24,26,34,19,41
101,3,NA,NA,NA,NA,NA,15,53,1,24,26,34,19,41
101,4,NA,NA,NA,NA,NA,15,53,1,24,26,34,19,41
101,5,NA,NA,NA,NA,NA,15,53,1,24,26,34,19,41
101,6,NA,NA,NA,NA,NA,15,53,1,24,26,34,19,41
102,0,3.2,2.85,1.45,1.1,2.9,10,44,1,26,28,35,29,29
102,1,1.5,1.3125,3.25,2.75,2.125,10,44,1,26,28,35,29,29
102,2,3.6666666666666665,3.4166666666666665,1.25,1.1666666666666667,2.9166666666666665,10,44,1,26,28,35,29,29
102,3,2,1.75,2.3125,1.4375,2.6875,10,44,1,26,28,35,29,29
102,4,2.1,1.2,1.05,1.25,2.95,10,44,1,26,28,35,29,29
102,5,1.75,1.5,1.5,1,3,10,44,1,26,28,35,29,29
102,6,1.75,1.375,1.9375,1.125,2.8333333333333335,10,44,1,26,28,35,29,29
103,0,4.166666666666667,3.6666666666666665,1,1.0833333333333333,2.75,26,63,0,17,13,21,40,38
103,1,3.75,3.2916666666666665,1.125,1.0833333333333333,3.375,26,63,0,17,13,21,40,38
103,2,3.0833333333333335,2.5416666666666665,1.125,1.25,2.8333333333333335,26,63,0,17,13,21,40,38
103,3,3.75,3.3333333333333335,1,1.0416666666666667,3,26,63,0,17,13,21,40,38
103,4,4.25,4.083333333333333,1,1.2916666666666667,3.7083333333333335,26,63,0,17,13,21,40,38
103,5,4.5,4.416666666666667,1,1.0416666666666667,4.083333333333333,26,63,0,17,13,21,40,38
103,6,4.416666666666667,4.541666666666667,1,1.0416666666666667,4.083333333333333,26,63,0,17,13,21,40,38
104,0,3.6666666666666665,3.4166666666666665,1.5833333333333333,2.25,3.6666666666666665,18,37,1,28,21,34,34,35
104,1,3.6,3.25,1.25,1.05,3.3,18,37,1,28,21,34,34,35
104,2,3.3333333333333335,3.125,1.25,1,2.6666666666666665,18,37,1,28,21,34,34,35
104,3,3.25,2.9583333333333335,1.125,1.1666666666666667,3.1666666666666665,18,37,1,28,21,34,34,35
104,4,3,3.25,1,1,3,18,37,1,28,21,34,34,35
104,5,2.3333333333333335,2.875,1.0833333333333333,1,2.9166666666666665,18,37,1,28,21,34,34,35
104,6,3.25,3.0833333333333335,1.1666666666666667,1,3.0833333333333335,18,37,1,28,21,34,34,35
105,0,3.8,4.1,1.1,1.1,3.55,21,44,1,21,27,32,34,34
105,1,2.6666666666666665,3.5,1.0416666666666667,1.125,3.1666666666666665,21,44,1,21,27,32,34,34
105,2,3.3333333333333335,3.625,1,1,3.2083333333333335,21,44,1,21,27,32,34,34
105,3,2.7,3.2,1,1,3.3,21,44,1,21,27,32,34,34
105,4,3.5833333333333335,3.625,1,1,3.6666666666666665,21,44,1,21,27,32,34,34
105,5,3.3333333333333335,3.5416666666666665,1,1.0833333333333333,3.3333333333333335,21,44,1,21,27,32,34,34
105,6,3.8333333333333335,3.0416666666666665,1,1.0833333333333333,3.3333333333333335,21,44,1,21,27,32,34,34
107,0,1.6666666666666667,1.7916666666666667,1.75,1.5833333333333333,2.5,17,51,1,32,20,41,34,29
107,1,2.2,2.85,1.3,1.5,2.7,17,51,1,32,20,41,34,29
107,2,2.1,2.15,1.45,1.45,2.65,17,51,1,32,20,41,34,29
107,3,3,2.5,2.5,1.25,3,17,51,1,32,20,41,34,29
107,4,1.3333333333333333,1.5,2.25,2.7083333333333335,2.5833333333333335,17,51,1,32,20,41,34,29
107,5,1.75,2,1.4583333333333333,1.4166666666666667,2.7916666666666665,17,51,1,32,20,41,34,29
107,6,2.0833333333333335,2.0833333333333335,1.3333333333333333,1.5416666666666667,3.125,17,51,1,32,20,41,34,29
108,0,1.6666666666666667,2.375,1.25,1.375,2.875,16,29,0,27,26,37,29,30
108,1,2.5,2.95,1.05,1,2.95,16,29,0,27,26,37,29,30
108,2,2.1,2.35,1.05,1.05,2.85,16,29,0,27,26,37,29,30
108,3,2.1666666666666665,2,1,1,2.9166666666666665,16,29,0,27,26,37,29,30
108,4,1.625,2.1875,1.3125,1.1875,3,16,29,0,27,26,37,29,30
108,5,1.6,1.65,1.8,2.1,2.6,16,29,0,27,26,37,29,30
108,6,1.5,1.6666666666666667,1.625,1.5833333333333333,2.9583333333333335,16,29,0,27,26,37,29,30
109,0,2.6666666666666665,2.7916666666666665,1,1,3.625,16,56,0,19,20,26,34,33
109,1,2.3333333333333335,2.6666666666666665,1,1,3.8333333333333335,16,56,0,19,20,26,34,33
109,2,2.1666666666666665,2.4166666666666665,1.0833333333333333,1,3.4583333333333335,16,56,0,19,20,26,34,33
109,3,2.0833333333333335,2.375,1,1.0416666666666667,3.625,16,56,0,19,20,26,34,33
109,4,2.25,2.5833333333333335,1,1,3.2916666666666665,16,56,0,19,20,26,34,33
109,5,2.0833333333333335,2.5833333333333335,1,1,3.3333333333333335,16,56,0,19,20,26,34,33
109,6,1.75,1.75,1.0416666666666667,1,3.3333333333333335,16,56,0,19,20,26,34,33
110,0,3.5,2.75,1.15,1,3.35,22,47,1,23,24,35,31,37
110,1,3.5833333333333335,2.75,1.125,1,3.375,22,47,1,23,24,35,31,37
110,2,4.75,4.208333333333333,1,1,3.625,22,47,1,23,24,35,31,37
110,3,4.4,3.6,1,1,3.55,22,47,1,23,24,35,31,37
110,4,3.5833333333333335,2.7083333333333335,1.9166666666666665,1.125,3.4583333333333335,22,47,1,23,24,35,31,37
110,5,3.6,2.5,1,1,3.3,22,47,1,23,24,35,31,37
110,6,3.4166666666666665,2.5833333333333335,1.625,1.0416666666666667,3.2916666666666665,22,47,1,23,24,35,31,37
112,0,2.3,2.3,2.3,2.4,2.65,19,18,0,20,25,35,37,32
112,1,2.5,3.1666666666666665,1.1666666666666667,1.375,2.9166666666666665,19,18,0,20,25,35,37,32
112,2,2.6,3.4,2.05,1.65,2.9,19,18,0,20,25,35,37,32
112,3,3,3.4,1.05,1.15,3,19,18,0,20,25,35,37,32
112,4,2.2,2.8,1.8,1.4,3,19,18,0,20,25,35,37,32
112,5,2.6666666666666665,2.3333333333333335,1,1.0833333333333333,3,19,18,0,20,25,35,37,32
112,6,2.5833333333333335,3.125,1.7083333333333333,1.6666666666666667,3.0833333333333335,19,18,0,20,25,35,37,32
113,0,3.8333333333333335,2.4583333333333335,1.3333333333333333,1.875,3.4166666666666665,26,52,1,22,24,32,33,32
113,1,3.8333333333333335,2.7916666666666665,1.25,1.4166666666666667,3.25,26,52,1,22,24,32,33,32
113,2,3.3333333333333335,2.1666666666666665,1.75,1.4583333333333333,3.25,26,52,1,22,24,32,33,32
113,3,2.9166666666666665,2.8333333333333335,2.625,2.25,3.0833333333333335,26,52,1,22,24,32,33,32
113,4,3.0833333333333335,2.6666666666666665,2.75,2.8333333333333335,3.0416666666666665,26,52,1,22,24,32,33,32
113,5,3.3333333333333335,2.375,2.4583333333333335,2.9166666666666665,3.375,26,52,1,22,24,32,33,32
113,6,2.5,2.8125,2.625,2.8125,3.0625,26,52,1,22,24,32,33,32
114,0,3.5833333333333335,2.8333333333333335,1.125,1.2083333333333333,3.7916666666666665,26,53,1,14,20,31,40,35
114,1,3.6,2.75,1.4,1.05,3.7,26,53,1,14,20,31,40,35
114,2,3.3333333333333335,2.5416666666666665,1.1666666666666667,1.125,3.5416666666666665,26,53,1,14,20,31,40,35
114,3,4,2.9166666666666665,1.375,1,4.083333333333333,26,53,1,14,20,31,40,35
114,4,3.25,2.25,1.625,1.4166666666666667,2.8333333333333335,26,53,1,14,20,31,40,35
114,5,3.4166666666666665,2.4166666666666665,1.6666666666666667,1.125,3.0416666666666665,26,53,1,14,20,31,40,35
114,6,3.6,2.4,1.7,1.25,3.35,26,53,1,14,20,31,40,35
115,0,3.5,2.05,1.05,1,3,25,42,1,16,35,42,38,26
115,1,3.0833333333333335,1.6666666666666665,1.0416666666666667,1,3.3333333333333335,25,42,1,16,35,42,38,26
115,2,3.9166666666666665,3.2916666666666665,1.125,1,3.0833333333333335,25,42,1,16,35,42,38,26
115,3,3.7,3.6,1.15,1,3.1,25,42,1,16,35,42,38,26
115,4,4,3.65,1.1,1,3.4,25,42,1,16,35,42,38,26
115,5,3,2.6,1.1,1.05,3,25,42,1,16,35,42,38,26
115,6,4,3.5416666666666665,1,1,3.0416666666666665,25,42,1,16,35,42,38,26
116,0,2.5,2.4166666666666665,2.1666666666666665,2.5416666666666665,3.0416666666666665,NA,64,0,NA,NA,NA,NA,NA
116,1,2.6666666666666665,2.375,2.125,2.6666666666666665,2.8333333333333335,NA,64,0,NA,NA,NA,NA,NA
116,2,3.1666666666666665,2.1666666666666665,1.9583333333333333,2.625,3.0416666666666665,NA,64,0,NA,NA,NA,NA,NA
116,3,2.8333333333333335,2,2,2.5833333333333335,3,NA,64,0,NA,NA,NA,NA,NA
116,4,3,2,2,2.125,3.2083333333333335,NA,64,0,NA,NA,NA,NA,NA
116,5,2.75,2,2,2.6,2.9,NA,64,0,NA,NA,NA,NA,NA
116,6,2.5,2.0833333333333335,2,2.875,2.9583333333333335,NA,64,0,NA,NA,NA,NA,NA
118,0,2.3333333333333335,1.75,2.6666666666666665,2.8333333333333335,1.5,10,27,1,35,21,35,28,33
118,1,1.5,1.375,3.5,2.75,1.625,10,27,1,35,21,35,28,33
118,2,1.8333333333333333,1.8333333333333333,2.5,2.4166666666666665,2.4166666666666665,10,27,1,35,21,35,28,33
118,3,1.75,2,2.5625,2.4375,2.3125,10,27,1,35,21,35,28,33
118,4,1,1.0833333333333333,3.75,3.0833333333333335,1.3333333333333333,10,27,1,35,21,35,28,33
118,5,1.375,1.1875,3.4375,3.3125,1.25,10,27,1,35,21,35,28,33
118,6,1.125,1.0625,3.9375,3.3125,1.0625,10,27,1,35,21,35,28,33
119,0,NA,NA,NA,NA,NA,19,37,1,27,15,18,40,44
119,1,NA,NA,NA,NA,NA,19,37,1,27,15,18,40,44
119,2,NA,NA,NA,NA,NA,19,37,1,27,15,18,40,44
119,3,NA,NA,NA,NA,NA,19,37,1,27,15,18,40,44
119,4,NA,NA,NA,NA,NA,19,37,1,27,15,18,40,44
119,5,NA,NA,NA,NA,NA,19,37,1,27,15,18,40,44
119,6,NA,NA,NA,NA,NA,19,37,1,27,15,18,40,44
120,0,3.2,2.95,1.7,1.55,3.4,21,29,1,24,27,31,38,26
120,1,3.4166666666666665,3.3333333333333335,1.2083333333333333,1.0833333333333333,3.5,21,29,1,24,27,31,38,26
120,2,3.625,3.125,1.25,1,3.5625,21,29,1,24,27,31,38,26
120,3,3.25,3.1666666666666665,1.25,1.0416666666666667,3.3333333333333335,21,29,1,24,27,31,38,26
120,4,3.2,2.9,1.3,1.15,3.2,21,29,1,24,27,31,38,26
120,5,3,2.6,1.2,1.2,3.2,21,29,1,24,27,31,38,26
120,6,2.75,2.5,1.5833333333333333,1.25,3.2916666666666665,21,29,1,24,27,31,38,26
122,0,NA,NA,NA,NA,NA,15,56,1,24,21,27,33,33
122,1,NA,NA,NA,NA,NA,15,56,1,24,21,27,33,33
122,2,NA,NA,NA,NA,NA,15,56,1,24,21,27,33,33
122,3,NA,NA,NA,NA,NA,15,56,1,24,21,27,33,33
122,4,NA,NA,NA,NA,NA,15,56,1,24,21,27,33,33
122,5,NA,NA,NA,NA,NA,15,56,1,24,21,27,33,33
122,6,NA,NA,NA,NA,NA,15,56,1,24,21,27,33,33
124,0,1.5,1.25,3.4583333333333335,2.9166666666666665,3.25,21,47,1,29,28,35,28,44
124,1,1.4166666666666667,1.375,1.6666666666666667,2.7916666666666665,4.416666666666667,21,47,1,29,28,35,28,44
124,2,1.5,1.5416666666666667,1.5416666666666667,2.3333333333333335,4.5,21,47,1,29,28,35,28,44
124,3,2.0833333333333335,1.5416666666666667,1.4583333333333333,1.9583333333333333,4.333333333333333,21,47,1,29,28,35,28,44
