variable,variable_label,original_question,recode_type,value_labels,missing_note
id,ID,ID,identifier,,
age_group,What is your age?,What is your age?,categorical/ordinal recode,"{""1"": ""18-24"", ""2"": ""25-34"", ""3"": ""35-44"", ""4"": ""45-54"", ""5"": ""55-64"", ""6"": ""65+""}",
gender,Are you...?,Are you...?,categorical/ordinal recode,"{""1"": ""Female"", ""2"": ""Male"", ""3"": ""Other"", ""4"": ""Prefer not to say""}",
sexual_orientation,Which of the following options best describes how you think of yourself?,Which of the following options best describes how you think of yourself?,categorical/ordinal recode,"{""1"": ""Heterosexual or Straight"", ""2"": ""Gay or Lesbian"", ""3"": ""Bisexual"", ""4"": ""Other and/or Prefer to self-describe"", ""5"": ""Prefer not to say""}",
ethnicity,Which one of the following best describes your ethnic group or background?,Which one of the following best describes your ethnic group or background?,categorical/ordinal recode,"{""1"": ""White"", ""2"": ""Mixed or Multiple"", ""3"": ""Black, Black British, Black Welsh, Caribbean or African"", ""4"": ""Asian, Asian British, Asian Welsh"", ""5"": ""White British"", ""6"": ""Srilankan/Indian"", ""8"": ""IRANIAN"", ""9"": ""Latino"", ""10"": ""Prefer not to say"", ""11"": ""indian"", ""12"": ""Rroma"", ""13"": ""Middleast""}",
study_mode,Are you currently studying full-time or part time?,Are you currently studying full-time or part time?,categorical/ordinal recode,"{""1"": ""Full-time"", ""2"": ""Part-time""}",
study_level,What level are you currently studying at?,What level are you currently studying at?,categorical/ordinal recode,"{""1"": ""Level 4 (UG First Year)"", ""2"": ""Level 5 (UG Second Year)"", ""3"": ""Level 6 (UG Third Year)"", ""4"": ""Level 7 (PG Masters)"", ""5"": ""Level 8 (Doctoral Study)"", ""6"": ""Other""}",
living_situation,Please select the option that best describes your living situation during semester time,Please select the option that best describes your living situation during semester time,categorical/ordinal recode,"{""1"": ""Living at home with parents or caregivers"", ""2"": ""Living in private accommodation in Northampton"", ""3"": ""Living in private accommodation outside of Northampton"", ""4"": ""Living in university managed accommodation"", ""5"": ""Other living arrangements""}",
phys_health,"In general, how would you rate your physical health?","In general, how would you rate your physical health?",categorical/ordinal recode,"{""1"": ""Very poor"", ""2"": ""Poor"", ""3"": ""Fair"", ""4"": ""Good"", ""5"": ""Very good""}",
ment_health,"In general, how would you rate your mental health?","In general, how would you rate your mental health?",categorical/ordinal recode,"{""1"": ""Very poor"", ""2"": ""Poor"", ""3"": ""Fair"", ""4"": ""Good"", ""5"": ""Very good""}",
social_connect,"To what extent do you agree with the following statement: ""I feel part of the student community and have a sense of social connection to the university""","To what extent do you agree with the following statement: ""I feel part of the student community and have a sense of social connection to the university""",categorical/ordinal recode,"{""1"": ""Strongly disagree"", ""2"": ""Disagree"", ""3"": ""Neutral"", ""4"": ""Agree"", ""5"": ""Strongly agree""}",
sitting_weekday_hours,time you spent sitting on weekdays during a typical week.,time you spent sitting on weekdays during a typical week.,numeric as collected,,
sleep_quality,overall sleep quality,overall sleep quality,numeric as collected,,
